
2024/08/25 (15:09:01) | ===> btop++ v.1.3.2
2024/08/25 (15:09:01) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/25 (19:40:44) | ===> btop++ v.1.3.2
2024/08/25 (19:40:44) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/29 (08:30:22) | ===> btop++ v.1.3.2
2024/08/29 (08:30:22) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/30 (10:17:23) | ===> btop++ v.1.3.2
2024/08/30 (10:17:23) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/30 (10:24:48) | ===> btop++ v.1.3.2
2024/08/30 (10:24:48) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/31 (10:42:26) | ===> btop++ v.1.3.2
2024/08/31 (10:42:26) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/31 (21:31:06) | ===> btop++ v.1.3.2
2024/08/31 (21:31:06) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/01 (08:48:11) | ===> btop++ v.1.3.2
2024/09/01 (08:48:11) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/01 (15:34:18) | ===> btop++ v.1.3.2
2024/09/01 (15:34:18) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/03 (12:16:40) | ===> btop++ v.1.3.2
2024/09/03 (12:16:40) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/04 (11:16:16) | ===> btop++ v.1.3.2
2024/09/04 (11:16:16) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/06 (11:32:08) | ===> btop++ v.1.3.2
2024/09/06 (11:32:08) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/06 (14:42:25) | ===> btop++ v.1.3.2
2024/09/06 (14:42:25) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/06 (16:50:08) | ===> btop++ v.1.3.2
2024/09/06 (16:50:08) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/08 (22:10:01) | ===> btop++ v.1.3.2
2024/09/08 (22:10:01) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/09/11 (00:01:08) | ===> btop++ v.1.3.2
